qId,segmentId,qNum,pdf,pageIndex,ratio,bbox,choiceY,outFile
R5gakkaB-003,R5gakkaB,3,C:\Users\masam\Desktop\KeyenceRK\１級土木施工管理技術検定愛一時検定_eラーニングサイト\R5gakkaB_mondai.pdf,2,0.069045,"[328.955,462.912,475.861,640.589]",677.589,C:\ProgramData\Generative AI\Github\PDF-RakuRaku-Seisan\docs\assets\doboku-14w\figures\R5gakkaB_003.png
R5gakkaB-006,R5gakkaB,6,C:\Users\masam\Desktop\KeyenceRK\１級土木施工管理技術検定愛一時検定_eラーニングサイト\R5gakkaB_mondai.pdf,4,0.18396,"[128.085,133.867,384.973,288.537]",328.219,C:\ProgramData\Generative AI\Github\PDF-RakuRaku-Seisan\docs\assets\doboku-14w\figures\R5gakkaB_006.png
