qId,segmentId,qNum,pdf,pageIndex,ratio,bbox,choiceY,outFile
R3gakkaB-003,R3gakkaB,3,C:\Users\masam\Desktop\KeyenceRK\１級土木施工管理技術検定愛一時検定_eラーニングサイト\R3gakkaB_mondai.pdf,2,0.064967,"[315.785,467.873,493.241,606.275]",677.589,C:\ProgramData\Generative AI\Github\PDF-RakuRaku-Seisan\docs\assets\doboku-14w\figures\R3gakkaB_003.png
R3gakkaB-006,R3gakkaB,6,C:\Users\masam\Desktop\KeyenceRK\１級土木施工管理技術検定愛一時検定_eラーニングサイト\R3gakkaB_mondai.pdf,4,0.18396,"[128.085,133.867,384.973,288.537]",328.219,C:\ProgramData\Generative AI\Github\PDF-RakuRaku-Seisan\docs\assets\doboku-14w\figures\R3gakkaB_006.png
