qId,segmentId,qNum,pdf,pageIndex,ratio,bbox,choiceY,outFile
R7gakkaB-003,R7gakkaB,3,C:\Users\masam\Desktop\KeyenceRK\１級土木施工管理技術検定愛一時検定_eラーニングサイト\R7gakkaB_mondai.pdf,2,0.069045,"[328.955,462.911,475.861,640.588]",677.589,C:\ProgramData\Generative AI\Github\PDF-RakuRaku-Seisan\docs\assets\doboku-14w\figures\R7gakkaB_003.png
R7gakkaB-006,R7gakkaB,6,C:\Users\masam\Desktop\KeyenceRK\１級土木施工管理技術検定愛一時検定_eラーニングサイト\R7gakkaB_mondai.pdf,4,0.1817,"[184.068,103.04,446.628,216.608]",246.014,C:\ProgramData\Generative AI\Github\PDF-RakuRaku-Seisan\docs\assets\doboku-14w\figures\R7gakkaB_006.png
